Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Cabbages,Ext Bag,126,2205.0,1/1/2012 ,0
Horticulture,Cooking Bananas,Med Bunch,22,511.0,1/1/2012 ,1
Horticulture,Ripe Bananas,Med Bunch,14,616.0,1/1/2012 ,2
Horticulture,Carrots,Ext Bag,138,2833.0,1/1/2012 ,3
Horticulture,Tomatoes,Lg Box,64,3411.0,1/1/2012 ,4
Horticulture,Onions Dry,net,13,1043.0,1/1/2012 ,5
Horticulture,Spring Onions,Bag,142,1997.0,1/1/2012 ,6
Horticulture,Chillies,Bag,38,2163.0,1/1/2012 ,7
Horticulture,Cucumber,Bag,50,2377.0,1/1/2012 ,8
Horticulture,Capsicums,Bag,50,2349.0,1/1/2012 ,9
Horticulture,Brinjals,Bag,44,1614.0,1/1/2012 ,10
Horticulture,Cauliflower,crate,39,2737.0,1/1/2012 ,11
Horticulture,Lettuce,Bag,51,2833.0,1/1/2012 ,12
Horticulture,Passion Fruits,Bag,57,4063.0,1/1/2012 ,13
Horticulture,Oranges,Bag,93,2757.0,1/1/2012 ,14
Horticulture,Lemons,Bag,95,1445.0,1/1/2012 ,15
Horticulture,Mangoes Local,Bag,126,1514.0,1/1/2012 ,16
Horticulture,Mangoes Ngowe,Sm Basket,25,785.0,1/1/2012 ,17
Horticulture,Limes,net,13,570.0,1/1/2012 ,18
Horticulture,Pineapples,Dozen,13,748.0,1/1/2012 ,19
Horticulture,Pawpaw,Lg Box,54,1392.0,1/1/2012 ,20
Horticulture,Avocado,Bag,90,2232.0,1/1/2012 ,21
Horticulture,Kales,Bag,50,1328.0,1/1/2012 ,22
Horticulture,Cabbages,Ext Bag,126,2739.0,2/1/2012 ,23
Horticulture,Cooking Bananas,Med Bunch,22,531.0,2/1/2012 ,24
Horticulture,Ripe Bananas,Med Bunch,14,570.0,2/1/2012 ,25
Horticulture,Carrots,Ext Bag,138,2754.0,2/1/2012 ,26
Horticulture,Tomatoes,Lg Box,64,4100.0,2/1/2012 ,27
Horticulture,Onions Dry,net,13,863.0,2/1/2012 ,28
Horticulture,Spring Onions,Bag,142,2142.0,2/1/2012 ,29
Horticulture,Chillies,Bag,38,2610.0,2/1/2012 ,30
Horticulture,Cucumber,Bag,50,1598.0,2/1/2012 ,31
