Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Cabbages,Ext Bag,126,2205.0,1/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,511.0,1/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,616.0,1/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,2833.0,1/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,3411.0,1/1/2012 0:00
Horticulture,Onions Dry,net,13,1043.0,1/1/2012 0:00
Horticulture,Spring Onions,Bag,142,1997.0,1/1/2012 0:00
Horticulture,Chillies,Bag,38,2163.0,1/1/2012 0:00
Horticulture,Cucumber,Bag,50,2377.0,1/1/2012 0:00
Horticulture,Capsicums,Bag,50,2349.0,1/1/2012 0:00
Horticulture,Brinjals,Bag,44,1614.0,1/1/2012 0:00
Horticulture,Cauliflower,crate,39,2737.0,1/1/2012 0:00
Horticulture,Lettuce,Bag,51,2833.0,1/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,4063.0,1/1/2012 0:00
Horticulture,Oranges,Bag,93,2757.0,1/1/2012 0:00
Horticulture,Lemons,Bag,95,1445.0,1/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,1514.0,1/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,785.0,1/1/2012 0:00
Horticulture,Limes,net,13,570.0,1/1/2012 0:00
Horticulture,Pineapples,Dozen,13,748.0,1/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1392.0,1/1/2012 0:00
Horticulture,Avocado,Bag,90,2232.0,1/1/2012 0:00
Horticulture,Kales,Bag,50,1328.0,1/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,2739.0,2/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,531.0,2/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,570.0,2/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,2754.0,2/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,4100.0,2/1/2012 0:00
Horticulture,Onions Dry,net,13,863.0,2/1/2012 0:00
Horticulture,Spring Onions,Bag,142,2142.0,2/1/2012 0:00
Horticulture,Chillies,Bag,38,2610.0,2/1/2012 0:00
Horticulture,Cucumber,Bag,50,1598.0,2/1/2012 0:00
Horticulture,Capsicums,Bag,50,2727.0,2/1/2012 0:00
Horticulture,Brinjals,Bag,44,1578.0,2/1/2012 0:00
Horticulture,Cauliflower,crate,39,2933.0,2/1/2012 0:00
Horticulture,Lettuce,Bag,51,2863.0,2/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3512.0,2/1/2012 0:00
Horticulture,Oranges,Bag,93,2880.0,2/1/2012 0:00
Horticulture,Lemons,Bag,95,1433.0,2/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,1726.0,2/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,817.0,2/1/2012 0:00
Horticulture,Limes,net,13,544.0,2/1/2012 0:00
Horticulture,Pineapples,Dozen,13,695.0,2/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1535.0,2/1/2012 0:00
Horticulture,Avocado,Bag,90,2439.0,2/1/2012 0:00
Horticulture,Kales,Bag,50,1985.0,2/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,3049.0,3/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,570.0,3/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,635.0,3/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,3223.0,3/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,3685.0,3/1/2012 0:00
Horticulture,Onions Dry,net,13,992.0,3/1/2012 0:00
Horticulture,Spring Onions,Bag,142,1981.0,3/1/2012 0:00
Horticulture,Chillies,Bag,38,2954.0,3/1/2012 0:00
Horticulture,Cucumber,Bag,50,2413.0,3/1/2012 0:00
Horticulture,Capsicums,Bag,50,3247.0,3/1/2012 0:00
Horticulture,Brinjals,Bag,44,1559.0,3/1/2012 0:00
Horticulture,Cauliflower,crate,39,2018.0,3/1/2012 0:00
Horticulture,Lettuce,Bag,51,2939.0,3/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3351.0,3/1/2012 0:00
Horticulture,Oranges,Bag,93,3075.0,3/1/2012 0:00
Horticulture,Lemons,Bag,95,1300.0,3/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,2015.0,3/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,1130.0,3/1/2012 0:00
Horticulture,Limes,net,13,541.0,3/1/2012 0:00
Horticulture,Pineapples,Dozen,13,748.0,3/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1503.0,3/1/2012 0:00
Horticulture,Avocado,Bag,90,2252.0,3/1/2012 0:00
Horticulture,Kales,Bag,50,2049.0,3/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,2625.0,4/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,543.0,4/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,623.0,4/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,3536.0,4/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,2820.0,4/1/2012 0:00
Horticulture,Onions Dry,net,13,1174.0,4/1/2012 0:00
Horticulture,Spring Onions,Bag,142,1833.0,4/1/2012 0:00
Horticulture,Chillies,Bag,38,2769.0,4/1/2012 0:00
Horticulture,Cucumber,Bag,50,2207.0,4/1/2012 0:00
Horticulture,Capsicums,Bag,50,2889.0,4/1/2012 0:00
Horticulture,Brinjals,Bag,44,1692.0,4/1/2012 0:00
Horticulture,Cauliflower,crate,39,2865.0,4/1/2012 0:00
Horticulture,Lettuce,Bag,51,3729.0,4/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3589.0,4/1/2012 0:00
Horticulture,Oranges,Bag,93,2792.0,4/1/2012 0:00
Horticulture,Lemons,Bag,95,1199.0,4/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,1993.0,4/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,1069.0,4/1/2012 0:00
Horticulture,Limes,net,13,601.0,4/1/2012 0:00
