Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Cabbages,Ext Bag,126,2205.00,1/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,511.00,1/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,616.00,1/1/2012 
Horticulture,Carrots,Ext Bag,138,2833.00,1/1/2012 
Horticulture,Tomatoes,Lg Box,64,3411.00,1/1/2012 
Horticulture,Onions Dry,net,13,1043.00,1/1/2012 
Horticulture,Spring Onions,Bag,142,1997.00,1/1/2012 
Horticulture,Chillies,Bag,38,2163.00,1/1/2012 
Horticulture,Cucumber,Bag,50,2377.00,1/1/2012 
Horticulture,Capsicums,Bag,50,2349.00,1/1/2012 
Horticulture,Brinjals,Bag,44,1614.00,1/1/2012 
Horticulture,Cauliflower,crate,39,2737.00,1/1/2012 
Horticulture,Lettuce,Bag,51,2833.00,1/1/2012 
Horticulture,Passion Fruits,Bag,57,4063.00,1/1/2012 
Horticulture,Oranges,Bag,93,2757.00,1/1/2012 
Horticulture,Lemons,Bag,95,1445.00,1/1/2012 
Horticulture,Mangoes Local,Bag,126,1514.00,1/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,785.00,1/1/2012 
Horticulture,Limes,net,13,570.00,1/1/2012 
Horticulture,Pineapples,Dozen,13,748.00,1/1/2012 
Horticulture,Pawpaw,Lg Box,54,1392.00,1/1/2012 
Horticulture,Avocado,Bag,90,2232.00,1/1/2012 
Horticulture,Kales,Bag,50,1328.00,1/1/2012 
Horticulture,Cabbages,Ext Bag,126,2739.00,2/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,531.00,2/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,570.00,2/1/2012 
Horticulture,Carrots,Ext Bag,138,2754.00,2/1/2012 
Horticulture,Tomatoes,Lg Box,64,4100.00,2/1/2012 
Horticulture,Onions Dry,net,13,863.00,2/1/2012 
Horticulture,Spring Onions,Bag,142,2142.00,2/1/2012 
Horticulture,Chillies,Bag,38,2610.00,2/1/2012 
Horticulture,Cucumber,Bag,50,1598.00,2/1/2012 
Horticulture,Capsicums,Bag,50,2727.00,2/1/2012 
Horticulture,Brinjals,Bag,44,1578.00,2/1/2012 
Horticulture,Cauliflower,crate,39,2933.00,2/1/2012 
Horticulture,Lettuce,Bag,51,2863.00,2/1/2012 
Horticulture,Passion Fruits,Bag,57,3512.00,2/1/2012 
Horticulture,Oranges,Bag,93,2880.00,2/1/2012 
Horticulture,Lemons,Bag,95,1433.00,2/1/2012 
Horticulture,Mangoes Local,Bag,126,1726.00,2/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,817.00,2/1/2012 
Horticulture,Limes,net,13,544.00,2/1/2012 
Horticulture,Pineapples,Dozen,13,695.00,2/1/2012 
Horticulture,Pawpaw,Lg Box,54,1535.00,2/1/2012 
Horticulture,Avocado,Bag,90,2439.00,2/1/2012 
Horticulture,Kales,Bag,50,1985.00,2/1/2012 
Horticulture,Cabbages,Ext Bag,126,3049.00,3/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,570.00,3/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,635.00,3/1/2012 
Horticulture,Carrots,Ext Bag,138,3223.00,3/1/2012 
Horticulture,Tomatoes,Lg Box,64,3685.00,3/1/2012 
Horticulture,Onions Dry,net,13,992.00,3/1/2012 
Horticulture,Spring Onions,Bag,142,1981.00,3/1/2012 
Horticulture,Chillies,Bag,38,2954.00,3/1/2012 
Horticulture,Cucumber,Bag,50,2413.00,3/1/2012 
Horticulture,Capsicums,Bag,50,3247.00,3/1/2012 
Horticulture,Brinjals,Bag,44,1559.00,3/1/2012 
Horticulture,Cauliflower,crate,39,2018.00,3/1/2012 
Horticulture,Lettuce,Bag,51,2939.00,3/1/2012 
Horticulture,Passion Fruits,Bag,57,3351.00,3/1/2012 
Horticulture,Oranges,Bag,93,3075.00,3/1/2012 
Horticulture,Lemons,Bag,95,1300.00,3/1/2012 
Horticulture,Mangoes Local,Bag,126,2015.00,3/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,1130.00,3/1/2012 
Horticulture,Limes,net,13,541.00,3/1/2012 
Horticulture,Pineapples,Dozen,13,748.00,3/1/2012 
Horticulture,Pawpaw,Lg Box,54,1503.00,3/1/2012 
Horticulture,Avocado,Bag,90,2252.00,3/1/2012 
Horticulture,Kales,Bag,50,2049.00,3/1/2012 
Horticulture,Cabbages,Ext Bag,126,2625.00,4/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,543.00,4/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,623.00,4/1/2012 
Horticulture,Carrots,Ext Bag,138,3536.00,4/1/2012 
Horticulture,Tomatoes,Lg Box,64,2820.00,4/1/2012 
Horticulture,Onions Dry,net,13,1174.00,4/1/2012 
Horticulture,Spring Onions,Bag,142,1833.00,4/1/2012 
Horticulture,Chillies,Bag,38,2769.00,4/1/2012 
Horticulture,Cucumber,Bag,50,2207.00,4/1/2012 
Horticulture,Capsicums,Bag,50,2889.00,4/1/2012 
Horticulture,Brinjals,Bag,44,1692.00,4/1/2012 
Horticulture,Cauliflower,crate,39,2865.00,4/1/2012 
Horticulture,Lettuce,Bag,51,3729.00,4/1/2012 
Horticulture,Passion Fruits,Bag,57,3589.00,4/1/2012 
Horticulture,Oranges,Bag,93,2792.00,4/1/2012 
Horticulture,Lemons,Bag,95,1199.00,4/1/2012 
Horticulture,Mangoes Local,Bag,126,1993.00,4/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,1069.00,4/1/2012 
Horticulture,Limes,net,13,601.00,4/1/2012 
Horticulture,Pineapples,Dozen,13,747.00,4/1/2012 
Horticulture,Pawpaw,Lg Box,54,1538.00,4/1/2012 
Horticulture,Avocado,Bag,90,2044.00,4/1/2012 
Horticulture,Kales,Bag,50,1580.00,4/1/2012 
Horticulture,Cabbages,Ext Bag,126,2105.00,5/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,565.00,5/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,630.00,5/1/2012 
Horticulture,Carrots,Ext Bag,138,3752.00,5/1/2012 
Horticulture,Tomatoes,Lg Box,64,3302.00,5/1/2012 
Horticulture,Onions Dry,net,13,1153.00,5/1/2012 
Horticulture,Spring Onions,Bag,142,1793.00,5/1/2012 
Horticulture,Chillies,Bag,38,2889.00,5/1/2012 
Horticulture,Cucumber,Bag,50,2072.00,5/1/2012 
Horticulture,Capsicums,Bag,50,2758.00,5/1/2012 
Horticulture,Brinjals,Bag,44,1390.00,5/1/2012 
Horticulture,Cauliflower,crate,39,2969.00,5/1/2012 
Horticulture,Lettuce,Bag,51,3390.00,5/1/2012 
Horticulture,Passion Fruits,Bag,57,3633.00,5/1/2012 
Horticulture,Oranges,Bag,93,2708.00,5/1/2012 
Horticulture,Lemons,Bag,95,1461.00,5/1/2012 
Horticulture,Mangoes Local,Bag,126,1960.00,5/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,1132.00,5/1/2012 
Horticulture,Limes,net,13,681.00,5/1/2012 
Horticulture,Pineapples,Dozen,13,788.00,5/1/2012 
Horticulture,Pawpaw,Lg Box,54,1428.00,5/1/2012 
Horticulture,Avocado,Bag,90,1939.00,5/1/2012 
Horticulture,Kales,Bag,50,1206.00,5/1/2012 
Horticulture,Cabbages,Ext Bag,126,2221.00,6/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,589.00,6/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,659.00,6/1/2012 
Horticulture,Carrots,Ext Bag,138,4147.00,6/1/2012 
Horticulture,Tomatoes,Lg Box,64,4172.00,6/1/2012 
Horticulture,Onions Dry,net,13,1229.00,6/1/2012 
Horticulture,Spring Onions,Bag,142,1993.00,6/1/2012 
Horticulture,Chillies,Bag,38,2658.00,6/1/2012 
Horticulture,Cucumber,Bag,50,1893.00,6/1/2012 
Horticulture,Capsicums,Bag,50,2758.00,6/1/2012 
Horticulture,Brinjals,Bag,44,1606.00,6/1/2012 
Horticulture,Cauliflower,crate,39,2147.00,6/1/2012 
Horticulture,Lettuce,Bag,51,3281.00,6/1/2012 
Horticulture,Passion Fruits,Bag,57,3636.00,6/1/2012 
Horticulture,Oranges,Bag,93,2410.00,6/1/2012 
Horticulture,Lemons,Bag,95,1767.00,6/1/2012 
Horticulture,Mangoes Local,Bag,126,2018.00,6/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,1004.00,6/1/2012 
Horticulture,Limes,net,13,655.00,6/1/2012 
Horticulture,Pineapples,Dozen,13,851.00,6/1/2012 
Horticulture,Pawpaw,Lg Box,54,1406.00,6/1/2012 
Horticulture,Avocado,Bag,90,1971.00,6/1/2012 
Horticulture,Kales,Bag,50,1272.00,6/1/2012 
Horticulture,Cabbages,Ext Bag,126,2034.00,7/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,544.00,7/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,582.00,7/1/2012 
Horticulture,Carrots,Ext Bag,138,4534.00,7/1/2012 
Horticulture,Tomatoes,Lg Box,64,2602.00,7/1/2012 
Horticulture,Onions Dry,net,13,1004.00,7/1/2012 
Horticulture,Spring Onions,Bag,142,2103.00,7/1/2012 
Horticulture,Chillies,Bag,38,2785.00,7/1/2012 
Horticulture,Cucumber,Bag,50,1917.00,7/1/2012 
Horticulture,Capsicums,Bag,50,2552.00,7/1/2012 
Horticulture,Brinjals,Bag,44,1592.00,7/1/2012 
Horticulture,Cauliflower,crate,39,2744.00,7/1/2012 
Horticulture,Lettuce,Bag,51,3563.00,7/1/2012 
Horticulture,Passion Fruits,Bag,57,3726.00,7/1/2012 
Horticulture,Oranges,Bag,93,2413.00,7/1/2012 
Horticulture,Lemons,Bag,95,1695.00,7/1/2012 
Horticulture,Mangoes Local,Bag,126,1750.00,7/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,1063.00,7/1/2012 
Horticulture,Limes,net,13,602.00,7/1/2012 
Horticulture,Pineapples,Dozen,13,831.00,7/1/2012 
Horticulture,Pawpaw,Lg Box,54,1432.00,7/1/2012 
Horticulture,Avocado,Bag,90,1741.00,7/1/2012 
Horticulture,Kales,Bag,50,824.00,7/1/2012 
Horticulture,Cabbages,Ext Bag,126,1905.00,8/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,572.00,8/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,542.00,8/1/2012 
Horticulture,Carrots,Ext Bag,138,3850.00,8/1/2012 
Horticulture,Tomatoes,Lg Box,64,2576.00,8/1/2012 
Horticulture,Onions Dry,net,13,887.00,8/1/2012 
Horticulture,Spring Onions,Bag,142,1975.00,8/1/2012 
Horticulture,Chillies,Bag,38,2652.00,8/1/2012 
Horticulture,Cucumber,Bag,50,1572.00,8/1/2012 
Horticulture,Capsicums,Bag,50,2769.00,8/1/2012 
Horticulture,Brinjals,Bag,44,1544.00,8/1/2012 
Horticulture,Cauliflower,crate,39,2408.00,8/1/2012 
Horticulture,Lettuce,Bag,51,4246.00,8/1/2012 
Horticulture,Passion Fruits,Bag,57,3291.00,8/1/2012 
Horticulture,Oranges,Bag,93,2736.00,8/1/2012 
Horticulture,Lemons,Bag,95,1749.00,8/1/2012 
Horticulture,Mangoes Local,Bag,126,1791.00,8/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,1013.00,8/1/2012 
Horticulture,Limes,net,13,817.00,8/1/2012 
Horticulture,Pineapples,Dozen,13,698.00,8/1/2012 
Horticulture,Pawpaw,Lg Box,54,1388.00,8/1/2012 
Horticulture,Avocado,Bag,90,1634.00,8/1/2012 
Horticulture,Kales,Bag,50,682.00,8/1/2012 
Horticulture,Cabbages,Ext Bag,126,1792.00,9/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,571.00,9/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,573.00,9/1/2012 
Horticulture,Carrots,Ext Bag,138,3261.00,9/1/2012 
Horticulture,Tomatoes,Lg Box,64,2602.00,9/1/2012 
Horticulture,Onions Dry,net,13,1018.00,9/1/2012 
Horticulture,Spring Onions,Bag,142,2097.00,9/1/2012 
Horticulture,Chillies,Bag,38,3783.00,9/1/2012 
Horticulture,Cucumber,Bag,50,1735.00,9/1/2012 
Horticulture,Capsicums,Bag,50,2674.00,9/1/2012 
Horticulture,Brinjals,Bag,44,1474.00,9/1/2012 
Horticulture,Cauliflower,crate,39,2087.00,9/1/2012 
Horticulture,Lettuce,Bag,51,4983.00,9/1/2012 
Horticulture,Passion Fruits,Bag,57,3536.00,9/1/2012 
Horticulture,Oranges,Bag,93,3163.00,9/1/2012 
Horticulture,Lemons,Bag,95,1374.00,9/1/2012 
Horticulture,Mangoes Local,Bag,126,2013.00,9/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,932.00,9/1/2012 
Horticulture,Limes,net,13,626.00,9/1/2012 
Horticulture,Pineapples,Dozen,13,935.00,9/1/2012 
Horticulture,Pawpaw,Lg Box,54,1715.00,9/1/2012 
Horticulture,Avocado,Bag,90,1975.00,9/1/2012 
Horticulture,Kales,Bag,50,764.00,9/1/2012 
Horticulture,Cabbages,Ext Bag,126,1643.00,10/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,626.00,10/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,636.00,10/1/2012 
Horticulture,Carrots,Ext Bag,138,2778.00,10/1/2012 
Horticulture,Tomatoes,Lg Box,64,2576.00,10/1/2012 
Horticulture,Onions Dry,net,13,819.00,10/1/2012 
Horticulture,Spring Onions,Bag,142,1852.00,10/1/2012 
Horticulture,Chillies,Bag,38,2592.00,10/1/2012 
Horticulture,Cucumber,Bag,50,2020.00,10/1/2012 
Horticulture,Capsicums,Bag,50,2439.00,10/1/2012 
Horticulture,Brinjals,Bag,44,1386.00,10/1/2012 
Horticulture,Cauliflower,crate,39,1883.00,10/1/2012 
Horticulture,Lettuce,Bag,51,4944.00,10/1/2012 
Horticulture,Passion Fruits,Bag,57,3429.00,10/1/2012 
Horticulture,Oranges,Bag,93,3003.00,10/1/2012 
Horticulture,Lemons,Bag,95,1455.00,10/1/2012 
Horticulture,Mangoes Local,Bag,126,1862.00,10/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,1174.00,10/1/2012 
Horticulture,Limes,net,13,680.00,10/1/2012 
Horticulture,Pineapples,Dozen,13,841.00,10/1/2012 
Horticulture,Pawpaw,Lg Box,54,1431.00,10/1/2012 
Horticulture,Avocado,Bag,90,1860.00,10/1/2012 
Horticulture,Kales,Bag,50,749.00,10/1/2012 
Horticulture,Cabbages,Ext Bag,126,1410.00,11/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,548.00,11/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,593.00,11/1/2012 
Horticulture,Carrots,Ext Bag,138,2515.00,11/1/2012 
Horticulture,Tomatoes,Lg Box,64,3392.00,11/1/2012 
Horticulture,Onions Dry,net,13,907.00,11/1/2012 
Horticulture,Spring Onions,Bag,142,2015.00,11/1/2012 
Horticulture,Chillies,Bag,38,2387.00,11/1/2012 
Horticulture,Cucumber,Bag,50,1756.00,11/1/2012 
Horticulture,Capsicums,Bag,50,2088.00,11/1/2012 
Horticulture,Brinjals,Bag,44,1325.00,11/1/2012 
Horticulture,Cauliflower,crate,39,1364.00,11/1/2012 
Horticulture,Lettuce,Bag,51,2182.00,11/1/2012 
Horticulture,Passion Fruits,Bag,57,3505.00,11/1/2012 
Horticulture,Oranges,Bag,93,2678.00,11/1/2012 
Horticulture,Lemons,Bag,95,1546.00,11/1/2012 
Horticulture,Mangoes Local,Bag,126,1807.00,11/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,875.00,11/1/2012 
Horticulture,Limes,net,13,847.00,11/1/2012 
Horticulture,Pineapples,Dozen,13,778.00,11/1/2012 
Horticulture,Pawpaw,Lg Box,54,1298.00,11/1/2012 
Horticulture,Avocado,Bag,90,1847.00,11/1/2012 
Horticulture,Kales,Bag,50,670.00,11/1/2012 
Horticulture,Cabbages,Ext Bag,126,1504.00,12/1/2012 
Horticulture,Cooking Bananas,Med Bunch,22,547.00,12/1/2012 
Horticulture,Ripe Bananas,Med Bunch,14,577.00,12/1/2012 
Horticulture,Carrots,Ext Bag,138,2507.00,12/1/2012 
Horticulture,Tomatoes,Lg Box,64,3348.00,12/1/2012 
Horticulture,Onions Dry,net,13,900.00,12/1/2012 
Horticulture,Spring Onions,Bag,142,2390.00,12/1/2012 
Horticulture,Chillies,Bag,38,3300.00,12/1/2012 
Horticulture,Cucumber,Bag,50,1861.00,12/1/2012 
Horticulture,Capsicums,Bag,50,2222.00,12/1/2012 
Horticulture,Brinjals,Bag,44,1427.00,12/1/2012 
Horticulture,Cauliflower,crate,39,1993.00,12/1/2012 
Horticulture,Lettuce,Bag,51,3932.00,12/1/2012 
Horticulture,Passion Fruits,Bag,57,3548.00,12/1/2012 
Horticulture,Oranges,Bag,93,2877.00,12/1/2012 
Horticulture,Lemons,Bag,95,1911.00,12/1/2012 
Horticulture,Mangoes Local,Bag,126,2124.00,12/1/2012 
Horticulture,Mangoes Ngowe,Sm Basket,25,912.00,12/1/2012 
Horticulture,Limes,net,13,728.00,12/1/2012 
Horticulture,Pineapples,Dozen,13,727.00,12/1/2012 
Horticulture,Pawpaw,Lg Box,54,1611.00,12/1/2012 
Horticulture,Avocado,Bag,90,2255.00,12/1/2012 
Horticulture,Kales,Bag,50,690.00,12/1/2012 
Horticulture,Cabbages,Ext Bag,126,1466.00,1/1/2013 
